time,seconds_elapsed,z,y,x
1702326718525597200,0.10759716796875,0.0050182342529296875,-0.12987685203552246,-0.012423098087310791
1702326718542599200,0.12459912109375,-0.023267745971679688,-0.12491703033447266,0.045211613178253174
1702326718559584500,0.14158447265625,-0.13077831268310547,-0.13320684432983398,0.019630074501037598
1702326718576577300,0.158577392578125,-0.1880054473876953,-0.16532421112060547,-0.0012445449829101562
1702326718593568800,0.17556884765625,-0.24807167053222656,-0.2344377040863037,-0.06933605670928955
1702326718610560000,0.19256005859375,-0.32534313201904297,-0.36681246757507324,-0.15032118558883667
1702326718627548400,0.20954833984375,-0.49805259704589844,-0.44775986671447754,-0.07125383615493774
1702326718644535300,0.226535400390625,-0.8114604949951172,-0.6348307132720947,-0.03247714042663574
1702326718661530400,0.2435302734375,-0.9098520278930664,-0.7784795761108398,-0.0895429253578186
1702326718678521300,0.260521240234375,-1.1736125946044922,-0.8327672481536865,0.28039300441741943
1702326718695508000,0.277508056640625,-1.3634452819824219,-0.8324549198150635,-0.08240282535552979
1702326718712500000,0.2945,-1.681941032409668,-1.074094533920288,-0.5170904397964478
1702326718729488000,0.31148779296875,-2.208465576171875,-1.271031141281128,-0.834795355796814
1702326718746481200,0.328481201171875,-3.0821399688720703,-1.6322507858276367,-0.6246953010559082
1702326718763470600,0.345470703125,-3.4475817680358887,-1.6947412490844727,-0.48261427879333496
1702326718780460000,0.3624599609375,-3.031928539276123,-1.7940516471862793,-0.5387486219406128
1702326718797449000,0.379448974609375,-3.5401525497436523,-1.9771552085876465,-0.3810567855834961
1702326718814441700,0.396441650390625,-4.084317207336426,-2.2388916015625,-0.7603640556335449
1702326718831423200,0.41342333984375,-4.13691520690918,-2.6862847805023193,-1.8236310482025146
1702326718848409300,0.430409423828125,-4.158709526062012,-3.453282356262207,-2.490018844604492
1702326718865414700,0.44741455078125,-3.319756031036377,-3.286773920059204,-2.277139663696289
1702326718882405400,0.4644052734375,-2.849853992462158,-2.7335057258605957,-1.3915152549743652
1702326718899390000,0.481389892578125,-2.9501993656158447,-2.44633150100708,0.2600893974304199
1702326718916385000,0.498385009765625,-2.6361594200134277,-2.43503999710083,0.9591045379638672
1702326718933374500,0.51537451171875,-1.805999517440796,-2.5475499629974365,0.37901735305786133
1702326718950355700,0.532355712890625,-0.6913986206054688,-2.465951919555664,0.3546595573425293
1702326718967352000,0.54935205078125,0.3195013999938965,-1.8907713890075684,1.3829569816589355
1702326718984344600,0.566344482421875,1.3267755508422852,-1.3686091899871826,2.8278865814208984
1702326719001334000,0.583333984375,2.333794116973877,-0.7635929584503174,3.229580879211426
1702326719018325500,0.600325439453125,2.829258918762207,-0.831386923789978,2.586395263671875
1702326719035315700,0.617315673828125,1.684769630432129,-0.7525048851966858,2.098050117492676
1702326719052307500,0.634307373046875,0.07416582107543945,-0.9347295165061951,2.482053756713867
1702326719069293800,0.6512939453125,0.08047747611999512,-0.5210950970649719,2.999039649963379
1702326719086286600,0.66828662109375,0.9066414833068848,-0.0865565687417984,3.108278274536133
1702326719103277300,0.68527734375,1.823188304901123,-0.20186981558799744,2.9659547805786133
1702326719120268800,0.702268798828125,2.6216378211975098,-0.17590272426605225,2.571949005126953
1702326719137255000,0.7192548828125,2.5972766876220703,-0.21139132976531982,2.3417911529541016
1702326719154247700,0.73624755859375,2.1933562755584717,-0.29943549633026123,2.2023792266845703
1702326719171222000,0.753221923828125,1.6894371509552002,-0.39329004287719727,1.9837818145751953
1702326719188226000,0.77022607421875,1.6769883632659912,-0.1695549488067627,1.6486005783081055
1702326719205218300,0.78721826171875,1.8330602645874023,0.013995170593261719,1.6308917999267578
1702326719222207200,0.804207275390625,2.0098984241485596,0.1736743450164795,1.6908283233642578
1702326719239197000,0.821197021484375,1.9628238677978516,0.20879173278808594,1.787750244140625
1702326719256186400,0.838186279296875,1.5261478424072266,0.1666431427001953,2.1230392456054688
1702326719273181000,0.855180908203125,0.8676172494888306,0.273939847946167,2.386631965637207
1702326719290159600,0.87215966796875,0.1383439302444458,0.503746509552002,2.436001777648926
