time,seconds_elapsed,z,y,x
1701897795276333000,0.1393330078125,8.77103042602539,4.223309516906738,1.2119338512420654
1701897795293318400,0.156318359375,8.77484130859375,4.218238830566406,1.201970100402832
1701897795310315000,0.17331494140625,8.777314186096191,4.21597146987915,1.191825270652771
1701897795327310800,0.190310791015625,8.776601791381836,4.220208644866943,1.1820329427719116
1701897795344305000,0.207304931640625,8.773975372314453,4.228515148162842,1.171801209449768
1701897795361299200,0.22429931640625,8.771729469299316,4.236356258392334,1.1602426767349243
1701897795378288400,0.241288330078125,8.770668983459473,4.241930961608887,1.1478217840194702
1701897795395284000,0.258283935546875,8.770170211791992,4.246494293212891,1.1346827745437622
1701897795412278800,0.27527880859375,8.770203590393066,4.25027322769165,1.1201828718185425
1701897795429268000,0.29226806640625,8.770600318908691,4.253849029541016,1.1033868789672852
1701897795446253600,0.309253662109375,8.771127700805664,4.257349491119385,1.0855435132980347
1701897795463255600,0.326255615234375,8.772528648376465,4.259288787841797,1.066451907157898
1701897795480247600,0.34324755859375,8.775471687316895,4.258516311645508,1.0451048612594604
1701897795497244200,0.360244140625,8.78041934967041,4.2543511390686035,1.0202157497406006
1701897795514233900,0.37723388671875,8.786130905151367,4.247668266296387,0.9986635446548462
1701897795531231500,0.3942314453125,8.793564796447754,4.237686634063721,0.9753670692443848
1701897795548223000,0.411222900390625,8.799595832824707,4.232148170471191,0.9445328116416931
1701897795565217300,0.42821728515625,8.799906730651855,4.24313497543335,0.8908159136772156
1701897795582211300,0.44521142578125,8.790728569030762,4.268151760101318,0.8614414930343628
1701897795599200800,0.46220068359375,8.769791603088379,4.308023929595947,0.8762460947036743
1701897795616196000,0.479196044921875,8.735504150390625,4.3632283210754395,0.9430369138717651
1701897795633191200,0.496191162109375,8.688125610351562,4.428411960601807,1.0685288906097412
1701897795650186500,0.5131865234375,8.633657455444336,4.489652156829834,1.2405998706817627
1701897795667178000,0.530177978515625,8.57481861114502,4.546189308166504,1.4285528659820557
1701897795684169500,0.54716943359375,8.497777938842773,4.611364364624023,1.6610865592956543
1701897795701164500,0.56416455078125,8.39138126373291,4.693126201629639,1.9481773376464844
1701897795718152700,0.581152587890625,8.255353927612305,4.784636974334717,2.278700828552246
1701897795735151000,0.598151123046875,8.109489440917969,4.858549118041992,2.620455026626587
1701897795752143000,0.61514306640625,7.986001014709473,4.879233360290527,2.9415948390960693
1701897795769133300,0.63213330078125,7.892581462860107,4.839132785797119,3.2443885803222656
1701897795786129200,0.649129150390625,7.8012237548828125,4.758154392242432,3.5688915252685547
1701897795803124000,0.6661240234375,7.6627092361450195,4.668211460113525,3.9657022953033447
1701897795820113200,0.683113037109375,7.462963581085205,4.574714660644531,4.428574085235596
1701897795837109500,0.700109619140625,7.228878021240234,4.459579944610596,4.908316612243652
1701897795854099000,0.717098876953125,6.988312721252441,4.316566467285156,5.363473415374756
1701897795871099600,0.734099609375,6.740627765655518,4.155327320098877,5.79079532623291
