time,seconds_elapsed,z,y,x
1701542436374415000,0.1134150390625,8.18612289428711,5.2741379737854,1.1861577033996582
1701542436391400200,0.130400146484375,8.226255416870117,5.218449592590332,1.1543909311294556
1701542436408390700,0.147390625,8.257678985595703,5.176590442657471,1.1179317235946655
1701542436425374200,0.164374267578125,8.283316612243652,5.141826629638672,1.0882970094680786
1701542436442372400,0.181372314453125,8.303994178771973,5.110899925231934,1.076339840888977
1701542436459368700,0.19836865234375,8.314516067504883,5.091765403747559,1.0857528448104858
1701542436476359200,0.215359130859375,8.310868263244629,5.09276008605957,1.108769416809082
1701542436493347000,0.23234716796875,8.297248840332031,5.111833572387695,1.1229156255722046
1701542436510340400,0.24934033203125,8.281305313110352,5.137775421142578,1.1222108602523804
1701542436527334400,0.26633447265625,8.268098831176758,5.160569667816162,1.1149741411209106
1701542436544321300,0.2833212890625,8.260529518127441,5.174661159515381,1.1057385206222534
1701542436561316600,0.300316650390625,8.255983352661133,5.182895183563232,1.101112961769104
1701542436578308600,0.31730859375,8.247549057006836,5.19508695602417,1.1068460941314697
1701542436595296000,0.3342958984375,8.231852531433105,5.216303825378418,1.1237835884094238
1701542436612291300,0.351291259765625,8.214728355407715,5.2394514083862305,1.1412684917449951
1701542436629282300,0.3682822265625,8.203516006469727,5.254108428955078,1.1544547080993652
1701542436646288100,0.3852880859375,8.195860862731934,5.2633538246154785,1.1666525602340698
1701542436663264300,0.40226416015625,8.183428764343262,5.278708457946777,1.1844130754470825
1701542436680246300,0.419246337890625,8.162100791931152,5.305112361907959,1.2132647037506104
1701542436697250000,0.43625,8.134020805358887,5.339041233062744,1.2523757219314575
1701542436714237400,0.453237548828125,8.10806655883789,5.369019031524658,1.2919021844863892
1701542436731233000,0.47023291015625,8.090106964111328,5.389441967010498,1.3191604614257812
1701542436748225500,0.4872255859375,8.078163146972656,5.403971195220947,1.332846999168396
1701542436765208000,0.5042080078125,8.06299114227295,5.4235758781433105,1.345030665397644
1701542436782212000,0.521212158203125,8.040136337280273,5.452341079711914,1.3653922080993652
1701542436799206700,0.53820654296875,8.012313842773438,5.486462593078613,1.392001986503601
1701542436816191500,0.55519140625,7.985390663146973,5.520436763763428,1.412241816520691
1701542436833179400,0.572179443359375,7.961623668670654,5.551515102386475,1.4245483875274658
1701542436850173200,0.589173095703125,7.944013595581055,5.574117183685303,1.434563159942627
1701542436867167000,0.6061669921875,7.934648513793945,5.583820819854736,1.4485881328582764
1701542436884153900,0.62315380859375,7.93301248550415,5.5820536613464355,1.4642751216888428
1701542436901148700,0.640148681640625,7.9385552406311035,5.570878028869629,1.476741075515747
1701542436918141400,0.657141357421875,7.950019836425781,5.553167819976807,1.4817616939544678
1701542436935129300,0.67412939453125,7.961568355560303,5.538244247436523,1.475595235824585
1701542436952124000,0.6911240234375,7.964820384979248,5.5369720458984375,1.4627690315246582
1701542436969116400,0.708116455078125,7.95721960067749,5.549924373626709,1.4550318717956543
1701542436986106400,0.7251064453125,7.94707727432251,5.564608097076416,1.4543739557266235
1701542437003096000,0.742095947265625,7.945223808288574,5.566744327545166,1.4563260078430176
1701542437020089600,0.759089599609375,7.954776287078857,5.552612781524658,1.4581233263015747
1701542437037081300,0.776081298828125,7.968441963195801,5.53298282623291,1.4581305980682373
1701542437054070000,0.793070068359375,7.975238800048828,5.523626327514648,1.4564436674118042
1701542437071065000,0.810065185546875,7.969465732574463,5.532933712005615,1.452710509300232
1701542437088057900,0.827057861328125,7.95588493347168,5.553277015686035,1.4495230913162231
1701542437105046000,0.8440458984375,7.942293643951416,5.57271671295166,1.4494496583938599
1701542437122040000,0.8610400390625,7.931951999664307,5.58698844909668,1.451140284538269
1701542437139031800,0.87803173828125,7.927037239074707,5.593942642211914,1.451206088066101
1701542437156024300,0.8950244140625,7.928421497344971,5.5930399894714355,1.4471194744110107
1701542437173012500,0.912012451171875,7.932430267333984,5.589499473571777,1.4388052225112915
1701542437190004200,0.929004150390625,7.933531761169434,5.590250015258789,1.4297884702682495
1701542437207001300,0.94600146484375,7.929188251495361,5.598362445831299,1.4221177101135254
1701542437223987000,0.962987060546875,7.921969413757324,5.6101274490356445,1.4159709215164185
1701542437240981500,0.9799814453125,7.916500091552734,5.618884086608887,1.4118373394012451
1701542437257971700,0.9969716796875,7.912600994110107,5.624393939971924,1.4117560386657715
1701542437274964500,1.013964599609375,7.90878438949585,5.629725933074951,1.4118865728378296
1701542437291956500,1.03095654296875,7.904350757598877,5.636030673980713,1.4115649461746216
1701542437308948000,1.047947998046875,7.899153709411621,5.643970012664795,1.408928632736206
1701542437325940700,1.064940673828125,7.8938140869140625,5.652987003326416,1.4026951789855957
1701542437342929000,1.081928955078125,7.886328220367432,5.665440082550049,1.3945345878601074
1701542437359924200,1.09892431640625,7.874563694000244,5.682930946350098,1.3898382186889648
