time,seconds_elapsed,z,y,x
1702132324784232700,0.065232666015625,-0.5607742667198181,0.007788531947880983,-0.016493361443281174
1702132324801244000,0.082243896484375,-0.6435465216636658,-0.017409659922122955,-0.012522737495601177
1702132324818215700,0.099215576171875,-0.7415903806686401,-0.006108652334660292,-0.013744467869400978
1702132324835214000,0.116214111328125,-0.8362745046615601,-0.016340645030140877,-0.007788531947880983
1702132324852209200,0.133209228515625,-0.9143125414848328,-0.004886921960860491,-0.005803219974040985
1702132324869196300,0.1501962890625,-0.9796751141548157,-0.00855211354792118,-0.006261368747800589
1702132324886190300,0.1671904296875,-1.0370965003967285,-0.01191187184303999,-0.01191187184303999
1702132324903181300,0.184181396484375,-1.0905472040176392,-0.015882495790719986,-0.01542434748262167
1702132324920169000,0.2011689453125,-1.1444560289382935,-0.02886338345706463,-0.019089538604021072
1702132324937162500,0.21816259765625,-1.2006556987762451,-0.02687807008624077,-0.019089538604021072
1702132324954153200,0.2351533203125,-1.2568552494049072,-0.021838432177901268,-0.01878410577774048
1702132324971145500,0.2521455078125,-1.3130548000335693,-0.020311269909143448,-0.013897184282541275
1702132324988139000,0.269138916015625,-1.3662000894546509,-0.01710422709584236,-0.014202617108821869
1702132325005126100,0.286126220703125,-1.4147639274597168,-0.01710422709584236,-0.015882495790719986
1702132325022119700,0.30311962890625,-1.4582880735397339,-0.023518312722444534,-0.014813481830060482
1702132325039103500,0.320103515625,-1.4981470108032227,-0.02428189292550087,-0.014355333521962166
1702132325056103000,0.33710302734375,-1.5315918922424316,-0.02535090781748295,-0.014202617108821869
1702132325073092600,0.354092529296875,-1.560302495956421,-0.02687807008624077,-0.012522737495601177
1702132325090080300,0.371080322265625,-1.584126353263855,-0.030695978552103043,-0.012980886735022068
1702132325107074000,0.388073974609375,-1.6029103994369507,-0.030085112899541855,-0.013286318629980087
1702132325124065000,0.40506494140625,-1.6197092533111572,-0.032070424407720566,-0.015577063895761967
1702132325141057300,0.422057373046875,-1.6365079879760742,-0.03497203439474106,-0.017562376335263252
1702132325158044700,0.439044677734375,-1.6555975675582886,-0.03726277872920036,-0.020616702735424042
1702132325175037700,0.45603759765625,-1.677894115447998,-0.03741549700498581,-0.020616702735424042
1702132325192031500,0.473031494140625,-1.6995798349380493,-0.03848451003432274,-0.018325956538319588
1702132325209015800,0.490015869140625,-1.7205020189285278,-0.03130684420466423,-0.018325956538319588
1702132325225996300,0.506996337890625,-1.7380642890930176,-0.024129176512360573,-0.01710422709584236
1702132325243003600,0.524003662109375,-1.7486017942428589,-0.020463986322283745,-0.017562376335263252
1702132325259988700,0.54098876953125,-1.7556266784667969,-0.022143865004181862,-0.013591751456260681
1702132325276990700,0.55799072265625,-1.7547104358673096,-0.02535090781748295,-0.014508049935102463
1702132325293973000,0.574972900390625,-1.7449365854263306,-0.02687807008624077,-0.01542434748262167
1702132325310995200,0.5919951171875,-1.7258470058441162,-0.021532999351620674,-0.014202617108821869
1702132325327975000,0.608974853515625,-1.703092336654663,-0.026572637259960175,-0.009162978269159794
1702132325344950300,0.6259501953125,-1.6785049438476562,-0.0328340083360672,-0.01038470957428217
1702132325361950200,0.6429501953125,-1.6522377729415894,-0.03405573591589928,-0.016340645030140877
1702132325378930000,0.659929931640625,-1.6255123615264893,-0.044287730008363724,-0.020616702735424042
1702132325395920600,0.676920654296875,-1.6027576923370361,-0.03955352306365967,-0.02076941914856434
1702132325412913200,0.6939130859375,-1.5827518701553345,-0.03878994286060333,-0.018325956538319588
1702132325429904600,0.710904541015625,-1.5610661506652832,-0.027947084978222847,-0.01237002108246088
1702132325446898400,0.7278984375,-1.5399912595748901,-0.024892758578062057,-0.012522737495601177
1702132325463889200,0.74488916015625,-1.5173892974853516,-0.018478672951459885,-0.01114829070866108
1702132325480874000,0.7618740234375,-1.494939923286438,-0.026114489883184433,-0.013286318629980087
1702132325497886700,0.77888671875,-1.474017858505249,-0.02932153269648552,-0.014813481830060482
1702132325514860300,0.7958603515625,-1.4527902603149414,-0.03497203439474106,-0.017562376335263252
1702132325531854600,0.8128544921875,-1.431868076324463,-0.03680463135242462,-0.01878410577774048
1702132325548838400,0.82983837890625,-1.41690194606781,-0.044287730008363724,-0.009162978269159794
1702132325565837300,0.84683740234375,-1.3972015380859375,-0.03375030308961868,-0.005497787147760391
1702132325582816500,0.86381640625,-1.372156023979187,-0.0328340083360672,-0.013439035043120384
1702132325599815200,0.880815185546875,-1.3486377000808716,-0.017409659922122955,-0.014355333521962166
1702132325616808700,0.89780859375,-1.3283264636993408,-0.017562376335263252,-0.015271631069481373
1702132325633799400,0.91479931640625,-1.3129020929336548,-0.023518312722444534,-0.0074830991216003895
1702132325650788400,0.931788330078125,-1.3006848096847534,-0.04245513305068016,-0.017409659922122955
1702132325667783000,0.948782958984375,-1.2953397035598755,-0.0555887371301651,-0.02229658141732216
1702132325684772400,0.9657724609375,-1.296714186668396,-0.05742133408784866,-0.027030786499381065
1702132325701766000,0.982765869140625,-1.3057245016098022,-0.039095375686883926,-0.028405234217643738
